Region ,Year,Number
New South Wales,2020,"3,602,633"
New South Wales,2021,"4,147,595"
New South Wales,2022,"4,363,219"
Victoria,2020,"2,045,367"
Victoria,2021,"2,129,819"
Victoria,2022,"2,184,630"
Queensland,2020,"10,381,265"
Queensland,2021,"10,605,366"
Queensland,2022,"10,794,395"
South Australia,2020,"908,138"
South Australia,2021,"936,715"
South Australia,2022,"958,449"
Western Australia,2020,"1,922,969"
Western Australia,2021,"2,022,715"
Western Australia,2022,"1,911,720"
Tasmania,2020,"480,248"
Tasmania,2021,"470,459"
Tasmania,2022,"445,577"
Northern Territory,2020,"1,798,845"
Northern Territory,2021,"1,731,707"
Northern Territory,2022,"1,587,490"
Australian Capital Territory,2020,"2,371"
Australian Capital Territory,2021,"3,957"
Australian Capital Territory,2022,"4,912"
